,Date,Title,Avg Pace,Best Pace,Distance,Calories,Avg HR,Max HR,Avg Run Cadence,Max Run Cadence,Total Ascent,Total Descent,Avg Stride Length,Min Elevation,Max Elevation,Total Run Time,Min Temp,Max Temp
0,2017-12-31,Sevierville Running,6.566666666666666,5.983333333333333,13.62,1462.0,179.34883294256852,174.34251665817843,175.0,187.0,381.0,425.0,1.4,958.0,1181.0,89.51666666666667,22.0,46.0
1,2017-12-30,Sevierville Running,7.1,6.533333333333333,5.83,631.0,151.4537142795346,169.42029806304808,176.0,191.0,169.0,9.0,1.29,1001.0,1174.0,41.38333333333333,27.0,49.0
2,2017-12-29,Sevierville Running,6.166666666666667,5.35,8.22,881.0,163.87012310236284,175.402458302006,176.0,191.0,285.0,184.0,1.47,968.0,1167.0,50.75,28.0,44.0
3,2017-12-29,Sevierville Running,6.95,6.316666666666666,1.97,209.0,139.97445008049056,164.92258974358975,174.0,191.0,48.0,181.0,1.34,1028.0,1178.0,13.7,28.0,44.0
4,2017-12-28,Moss Point Running,7.066666666666666,6.383333333333334,7.37,797.0,156.13753860614892,170.43354398116853,173.0,185.0,182.0,195.0,1.32,64.0,135.0,52.06666666666667,25.0,42.0
5,2017-12-26,Moss Point Running,6.866666666666667,6.583333333333333,1.78,193.0,139.99825535454968,155.76090476190475,173.0,180.0,16.0,17.0,1.36,60.0,102.0,12.216666666666667,27.0,48.0
6,2017-12-26,Moss Point Running,5.9,4.566666666666666,5.4,582.0,155.28226603097977,170.68259379509382,178.0,197.0,20.0,27.0,1.52,89.0,102.0,31.9,27.0,48.0
7,2017-12-26,Moss Point Running,7.25,6.65,1.86,203.0,139.76514479982455,160.34816666666666,172.0,176.0,12.0,16.0,1.3,89.0,115.0,13.483333333333333,27.0,48.0
8,2017-12-21,Lucedale Running,6.683333333333334,6.266666666666667,7.39,798.0,157.1551067374337,170.67921064783516,172.0,180.0,168.0,170.0,1.4,63.0,135.0,49.31666666666667,51.5,59.0
9,2017-12-20,Lucedale Running,6.85,6.433333333333334,4.31,462.0,146.25692866465937,169.14230036630036,172.0,178.0,79.0,65.0,1.37,75.0,135.0,29.566666666666666,53.5,74.0
10,2017-12-20,Moss Point Running,6.733333333333333,5.8,4.43,473.0,146.96888150225928,168.9738717948718,172.0,245.0,57.0,72.0,1.39,70.0,124.0,29.783333333333335,53.5,74.0
11,2017-12-19,Moss Point Running,6.9,6.433333333333334,1.92,207.0,139.04878332720256,165.55182783882782,169.0,174.0,36.0,41.0,1.38,89.0,115.0,13.216666666666667,52.5,66.0
12,2017-12-19,Moss Point Running,5.916666666666667,4.6,5.22,561.0,153.18724261606224,170.7422989232989,176.0,196.0,17.0,30.0,1.54,84.0,102.0,30.85,52.5,66.0
13,2017-12-19,Moss Point Running,6.983333333333333,6.466666666666667,2.0,213.0,138.94457950944218,163.82257142857142,169.0,176.0,25.0,32.0,1.37,89.0,115.0,13.933333333333334,52.5,66.0
14,2017-12-18,Lucedale Running,6.85,6.3,7.46,807.0,156.6108067038168,172.55404771434706,169.0,180.0,145.0,148.0,1.39,63.0,131.0,51.06666666666667,49.0,61.5
15,2017-12-17,Mobile Running,6.633333333333333,4.666666666666667,13.53,1446.0,176.91204528678392,172.13279653679652,171.0,189.0,292.0,301.0,1.42,102.0,208.0,89.68333333333334,41.0,53.0
16,2017-12-15,Moss Point Running,6.666666666666667,5.983333333333333,6.63,710.0,155.5602918684193,169.89501517926513,172.0,183.0,110.0,117.0,1.4,70.0,125.0,44.25,25.0,45.0
17,2017-12-14,Moss Point Running,7.066666666666666,6.566666666666666,1.84,197.0,139.52387560898825,157.80340476190474,172.0,182.0,16.0,21.0,1.32,65.0,82.0,13.033333333333333,31.5,60.5
18,2017-12-14,Moss Point Running,6.116666666666666,4.683333333333334,7.15,765.0,160.18727485507677,169.87571928205804,176.0,194.0,136.0,134.0,1.48,36.0,88.0,43.78333333333333,31.5,60.5
19,2017-12-14,Moss Point Running,6.9,6.2,1.84,197.0,139.8393517038798,153.58090476190475,171.0,176.0,14.0,10.0,1.36,66.0,87.0,12.65,31.5,60.5
20,2017-12-13,Lucedale Running,6.65,5.766666666666667,7.51,813.0,158.9118917706673,172.17923230356735,174.0,186.0,173.0,169.0,1.39,64.0,135.0,49.95,32.0,55.0
21,2017-12-12,Lucedale Running,7.966666666666667,6.783333333333333,1.7,181.0,137.45928503942034,152.24963064713066,169.0,178.0,70.0,77.0,1.2,226.0,265.0,13.583333333333334,36.0,54.5
22,2017-12-12,Lucedale Running,10.7,3.65,2.93,261.0,129.33974411159573,146.56031212121212,168.0,227.0,12.0,15.0,0.85,226.0,240.0,31.316666666666666,36.0,54.5
23,2017-12-12,Lucedale Running,6.7,5.733333333333333,1.97,213.0,140.36462415387084,157.7575952380952,173.0,182.0,6.0,9.0,1.39,222.0,243.0,13.2,36.0,54.5
24,2017-12-11,Lucedale Running,6.616666666666667,6.15,7.55,810.0,158.72779906953974,172.25646948305453,172.0,180.0,189.0,196.0,1.41,62.0,135.0,50.016666666666666,32.0,66.0
25,2017-12-10,Mobile Running,6.433333333333334,5.866666666666667,15.52,1657.0,186.59813782109106,175.87032115433587,175.0,183.0,555.0,556.0,1.43,87.0,209.0,99.91666666666667,27.0,76.0
26,2017-12-09,Lucedale Running,6.65,5.983333333333333,3.89,419.0,147.36894854963865,169.80100091575096,172.0,183.0,51.0,53.0,1.41,77.0,135.0,25.833333333333332,22.5,51.0
27,2017-12-08,Starkville Running,5.366666666666666,5.0,3.9,424.0,151.16185846908513,169.80857234432239,180.0,189.0,34.0,46.0,1.66,246.0,287.0,20.933333333333334,31.5,38.0
28,2017-11-25,Mississippi State Running,6.183333333333334,3.966666666666667,12.95,1373.0,179.21994896041784,171.6058012987013,179.0,197.0,281.0,283.0,1.45,289.0,384.0,80.01666666666667,39.5,70.0
29,2017-11-24,Starkville Running,6.65,5.8,9.94,1078.0,167.29153792803015,171.10867615894367,174.0,187.0,113.0,123.0,1.39,246.0,334.0,66.16666666666667,28.0,60.0
30,2017-11-23,Moss Point Running,6.483333333333333,1.85,7.0,751.0,157.94959103487378,170.8767461412856,174.0,184.0,100.0,100.0,1.42,37.0,89.0,45.416666666666664,27.0,59.0
31,2017-11-20,Starkville Running,6.533333333333333,6.05,5.86,632.0,154.17617873372782,167.99715659340657,175.0,186.0,142.0,376.0,1.41,101.0,344.0,38.28333333333333,26.5,55.0
32,2017-11-14,Starkville Running,6.616666666666667,4.966666666666667,6.67,718.0,155.95467637740256,169.50647079772077,177.0,194.0,142.0,137.0,1.37,259.0,348.0,44.166666666666664,34.5,66.0
33,2017-11-13,Starkville Running,7.166666666666667,5.283333333333333,4.17,451.0,145.6563773386289,170.13755952380953,176.0,191.0,103.0,98.0,1.28,298.0,348.0,29.85,43.0,67.0
34,2017-11-05,Starkville Running,6.5,5.116666666666666,11.46,1223.0,170.3166366790448,174.68031462514577,180.0,191.0,237.0,231.0,1.37,289.0,384.0,74.55,63.5,79.5
35,2017-11-02,Starkville Running,7.35,6.65,5.45,588.0,147.3314695602665,168.07745733678087,177.0,190.0,108.0,103.0,1.24,259.0,338.0,40.016666666666666,64.0,81.0
36,2017-11-01,Starkville Running,7.283333333333333,5.733333333333333,6.18,671.0,150.28408293866417,170.8953842823843,180.0,190.0,185.0,190.0,1.23,298.0,403.0,44.96666666666667,56.0,67.0
37,2017-10-30,Starkville Running,7.183333333333334,6.15,4.01,433.0,145.59728390749606,168.9566547619048,175.0,184.0,10.0,20.0,1.28,243.0,269.0,28.85,34.5,76.0
38,2017-10-30,Starkville Running,6.916666666666667,6.35,5.7,612.0,151.4155957396123,172.85066433239962,178.0,191.0,41.0,24.0,1.31,343.0,401.0,39.38333333333333,34.5,76.0
