Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Total Ascent,Total Descent,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Training Stress Score®,Avg Power,Max Power,Grit,Flow,Avg. Swolf,Avg Stroke Rate,Total Reps,Dive Time,Min Temp,Surface Interval,Decompression,Best Lap Time,Number of Laps,Max Temp,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Running,2021-12-31 17:31:06,false,"Tallahassee Running","4.00","367","00:30:50","135","153","174","182","7:42","6:29","249","351","1.20","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","78.8","0:00","No","30:50.18","1","84.2","00:30:50","00:31:52","73","234"
Running,2021-12-31 09:09:04,false,"Leon County Running","9.00","765","00:56:47","152","178","174","215","6:18","3:53","732","712","1.47","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","77.0","0:00","No","01:00.26","17","89.6","00:55:58","01:25:48","-39","115"
Running,2021-12-30 08:07:37,false,"Jackson County Running","8.01","585","00:58:36","130","146","177","184","7:19","6:36","420","482","1.24","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","77.0","0:00","No","58:36.14","1","84.2","00:58:27","00:59:27","-3","119"
Running,2021-12-29 07:58:32,false,"Mobile County Running","11.01","904","01:14:53","142","159","178","188","6:48","5:58","1,211","1,293","1.33","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","77.0","0:00","No","01:14:53.46","1","86.0","01:14:47","01:18:37","-100","73"
Running,2021-12-28 07:42:53,false,"Jackson County Running","11.00","990","01:07:58","159","186","181","199","6:11","4:47","863","863","1.44","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","75.2","0:00","No","02:00.26","12","89.6","01:07:53","01:27:28","-41","119"
Running,2021-12-27 16:33:58,false,"Jackson County Running","4.00","331","00:28:54","134","142","173","183","7:13","6:48","174","233","1.29","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","77.0","0:00","No","28:54.43","1","84.2","00:28:52","00:29:49","-62","31"
Running,2021-12-27 08:12:53,false,"Jackson County Running","8.00","717","00:57:57","145","167","175","209","7:14","6:37","417","472","1.27","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","75.2","0:00","No","57:56.97","1","84.2","00:57:53","01:09:02","40","119"
Running,2021-12-26 07:58:18,false,"Mobile County Running","14.01","1,238","01:32:58","152","175","178","186","6:38","6:03","1,004","1,145","1.36","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","71.6","0:00","No","01:32:57.75","1","82.4","01:32:44","01:35:20","-29","237"
Running,2021-12-25 10:03:58,false,"Jackson County Running","6.01","560","00:42:48","144","152","177","186","7:08","6:37","249","312","1.28","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","71.6","0:00","No","42:47.54","1","84.2","00:42:48","00:42:48","39","123"
Running,2021-12-24 08:56:58,false,"Mobile County Running","10.30","903","01:10:20","147","178","179","213","6:50","3:59","784","768","1.31","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","69.8","0:00","No","00:59.43","29","82.4","01:10:10","01:29:17","77","192"
