"STATION","NAME","DATE","AWND","DAPR","MDPR","PGTM","PRCP","SNOW","SNWD","TMAX","TMIN","TOBS","WDF2","WDF5","WSF2","WSF5","WT01","WT02","WT03","WT08"
"US1MSLW0006","CALEDONIA 5.4 SW, MS US","2017-01-10",,,,,"0.00",,,,,,,,,,,,,
"US1MSLW0006","CALEDONIA 5.4 SW, MS US","2017-01-11",,,,,"0.00",,,,,,,,,,,,,
"US1MSLW0006","CALEDONIA 5.4 SW, MS US","2017-01-12",,,,,"0.00",,,,,,,,,,,,,
"US1MSLW0006","CALEDONIA 5.4 SW, MS US","2017-01-16",,,,,"0.00",,,,,,,,,,,,,
"US1MSLW0006","CALEDONIA 5.4 SW, MS US","2017-01-17",,,,,"0.00",,,,,,,,,,,,,
"US1MSLW0006","CALEDONIA 5.4 SW, MS US","2017-01-18",,,,,"0.02",,,,,,,,,,,,,
"US1MSLW0006","CALEDONIA 5.4 SW, MS US","2017-01-19",,,,,"0.03",,,,,,,,,,,,,
"US1MSLW0006","CALEDONIA 5.4 SW, MS US","2017-01-20",,,,,"0.69",,,,,,,,,,,,,
"US1MSLW0006","CALEDONIA 5.4 SW, MS US","2017-01-22",,"    2","1.15",,,,,,,,,,,,,,,
"US1MSLW0006","CALEDONIA 5.4 SW, MS US","2017-01-23",,,,,"0.84",,,,,,,,,,,,,
"US1MSLW0006","CALEDONIA 5.4 SW, MS US","2017-01-25",,,,,"0.00",,,,,,,,,,,,,
"US1MSLW0006","CALEDONIA 5.4 SW, MS US","2017-01-26",,,,,"0.41",,,,,,,,,,,,,
"US1MSLW0006","CALEDONIA 5.4 SW, MS US","2017-01-27",,,,,"0.00",,,,,,,,,,,,,
"US1MSLW0006","CALEDONIA 5.4 SW, MS US","2017-01-30",,,,,"0.00",,,,,,,,,,,,,
"US1MSLW0006","CALEDONIA 5.4 SW, MS US","2017-01-31",,,,,"0.00",,,,,,,,,,,,,
"US1MSLW0006","CALEDONIA 5.4 SW, MS US","2017-02-01",,,,,"0.00",,,,,,,,,,,,,
"US1MSLW0006","CALEDONIA 5.4 SW, MS US","2017-02-02",,,,,"0.10",,,,,,,,,,,,,
"US1MSLW0006","CALEDONIA 5.4 SW, MS US","2017-02-03",,,,,"0.09",,,,,,,,,,,,,
"US1MSLW0006","CALEDONIA 5.4 SW, MS US","2017-02-07",,,,,"0.01",,,,,,,,,,,,,
"US1MSLW0006","CALEDONIA 5.4 SW, MS US","2017-02-08",,,,,"0.31",,,,,,,,,,,,,
"US1MSLW0006","CALEDONIA 5.4 SW, MS US","2017-02-10",,,,,"0.00",,,,,,,,,,,,,
"US1MSLW0006","CALEDONIA 5.4 SW, MS US","2017-02-11",,,,,"0.00",,,,,,,,,,,,,
"US1MSLW0006","CALEDONIA 5.4 SW, MS US","2017-02-13",,,,,"0.00",,,,,,,,,,,,,
"US1MSLW0006","CALEDONIA 5.4 SW, MS US","2017-02-15",,,,,"0.25",,,,,,,,,,,,,
"US1MSLW0006","CALEDONIA 5.4 SW, MS US","2017-02-16",,,,,"0.00",,,,,,,,,,,,,
"US1MSLW0006","CALEDONIA 5.4 SW, MS US","2017-02-17",,,,,"0.00",,,,,,,,,,,,,
"US1MSLW0006","CALEDONIA 5.4 SW, MS US","2018-01-02",,,,,"0.00",,,,,,,,,,,,,
"US1MSLW0006","CALEDONIA 5.4 SW, MS US","2018-01-03",,,,,"0.00",,,,,,,,,,,,,
"US1MSLW0006","CALEDONIA 5.4 SW, MS US","2018-01-05",,,,,"0.00",,,,,,,,,,,,,
"USC00221880","COLUMBUS, MS US","2017-01-01",,,,,"0.10","0.0","0.0","64","55","62",,,,,,,,
"USC00221880","COLUMBUS, MS US","2017-01-02",,,,,"1.00","0.0","0.0","69","62","63",,,,,,,,
"USC00221880","COLUMBUS, MS US","2017-01-03",,,,,"0.00","0.0","0.0","68","55","55",,,,,,,,
"USC00221880","COLUMBUS, MS US","2017-01-04",,,,,"0.00","0.0","0.0","56","31","31",,,,,,,,
"USC00221880","COLUMBUS, MS US","2017-01-05",,,,,"0.00","0.0","0.0","48","31","36",,,,,,,,
"USC00221880","COLUMBUS, MS US","2017-01-06",,,,,"0.00","0.0","0.0","36","24","24",,,,,,,,
"USC00221880","COLUMBUS, MS US","2017-01-07",,,,,"0.00","0.0","0.0","36","17","20",,,,,,,,
"USC00221880","COLUMBUS, MS US","2017-01-08",,,,,"0.00","0.0","0.0","35","20","28",,,,,,,,
"USC00221880","COLUMBUS, MS US","2017-01-09",,,,,"0.00","0.0","0.0","49","18","47",,,,,,,,
"USC00221880","COLUMBUS, MS US","2017-01-10",,,,,"0.00","0.0","0.0","65","47","63",,,,,,,,
"USC00221880","COLUMBUS, MS US","2017-01-11",,,,,"0.00","0.0","0.0","76","62","68",,,,,,,,
"USC00221880","COLUMBUS, MS US","2017-01-12",,,,,"0.00","0.0","0.0","78","60","63",,,,,,,,
"USC00221880","COLUMBUS, MS US","2017-01-13",,,,,"0.00","0.0","0.0","74","55","55",,,,,,,,
"USC00221880","COLUMBUS, MS US","2017-01-14",,,,,"0.00","0.0","0.0","78","50","52",,,,,,,,
"USC00221880","COLUMBUS, MS US","2017-01-15",,,,,"0.00","0.0","0.0","70","45","60",,,,,,,,
"USC00221880","COLUMBUS, MS US","2017-01-16",,,,,"0.00","0.0","0.0","77","52","68",,,,,,,,
"USC00221880","COLUMBUS, MS US","2017-01-17",,,,,"0.00","0.0","0.0","79","59","61",,,,,,,,
"USC00221880","COLUMBUS, MS US","2017-01-18",,,,,"0.00","0.0","0.0","67","57","60",,,,,,,,
"USC00221880","COLUMBUS, MS US","2017-01-19",,,,,"0.99","0.0","0.0","69","57","61",,,,,,,,
"USC00221880","COLUMBUS, MS US","2017-01-20",,,,,"0.00","0.0","0.0","70","59","59",,,,,,,,
"USC00221880","COLUMBUS, MS US","2017-01-21",,,,,"0.75","0.0","0.0","72","59","62",,,,,,,,
"USC00221880","COLUMBUS, MS US","2017-01-22",,,,,"1.12","0.0","0.0","64","52","52",,,,,,,,
"USC00221880","COLUMBUS, MS US","2017-01-23",,,,,"0.00","0.0","0.0","61","43","43",,,,,,,,
"USC00221880","COLUMBUS, MS US","2017-01-24",,,,,"0.00","0.0","0.0","64","40","52",,,,,,,,
"USC00221880","COLUMBUS, MS US","2017-01-25",,,,,"0.62","0.0","0.0","72","46","58",,,,,,,,
"USC00221880","COLUMBUS, MS US","2017-01-26",,,,,"0.00","0.0","0.0","58","39","39",,,,,,,,
"USC00221880","COLUMBUS, MS US","2017-01-27",,,,,"0.00","0.0","0.0","50","34","34",,,,,,,,
"USC00221880","COLUMBUS, MS US","2017-01-28",,,,,"0.00","0.0","0.0",,,,,,,,,,,
"USC00221880","COLUMBUS, MS US","2017-01-29",,,,,"0.00","0.0","0.0","53","31","31",,,,,,,,
"USC00221880","COLUMBUS, MS US","2017-01-30",,,,,"0.00","0.0","0.0","66","30","49",,,,,,,,
"USC00221880","COLUMBUS, MS US","2017-01-31",,,,,"0.00","0.0","0.0","79","40","51",,,,,,,,
"USC00221880","COLUMBUS, MS US","2017-02-01",,,,,"0.10","0.0","0.0","76","50","54",,,,,,,,
"USC00221880","COLUMBUS, MS US","2017-02-02",,,,,"0.00","0.0","0.0","55","42","43",,,,,,,,
"USC00221880","COLUMBUS, MS US","2017-02-03",,,,,"0.00","0.0","0.0","52","32","34",,,,,,,,
"USC00221880","COLUMBUS, MS US","2017-02-04",,,,,"0.00","0.0","0.0","55","26","48",,,,,,,,
